ID;i;l1;l2;ls;ws
1;0.8;0.5;20.96;80;30
2;0.72;0.5;20.96;80;30
3;0.792;0.5;20.96;80;30
4;0.808;0.5;20.96;80;30
5;0.88;0.5;20.96;80;30
6;0.8;0.45;20.96;80;30
7;0.8;0.495;20.96;80;30
8;0.8;0.505;20.96;80;30
9;0.8;0.55;20.96;80;30
10;0.8;0.5;18.864;80;30
11;0.8;0.5;20.7504;80;30
12;0.8;0.5;21.1696;80;30
13;0.8;0.5;23.056;80;30
14;0.8;0.5;20.96;72;30
15;0.8;0.5;20.96;79.2;30
16;0.8;0.5;20.96;80.8;30
17;0.8;0.5;20.96;88;30
18;0.8;0.5;20.96;80;27
19;0.8;0.5;20.96;80;29.7
20;0.8;0.5;20.96;80;30.3
21;0.8;0.5;20.96;80;33
